,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
194,803,20090707,8,35,31,1,34,26,44,42,19,2,0,2,2,1,2,1,0,1,2,2,1,2,2,0,2,1,1
195,804,20090714,33,19,9,34,8,27,2,18,40,0,2,1,1,0,0,1,2,2,0,0,1,2,0,0,1,1,2
196,805,20090721,44,1,7,34,16,12,4,43,6,2,2,1,0,1,0,1,2,1,1,0,0,1,0,1,2,0,0
197,806,20090728,35,11,43,15,3,10,6,29,13,2,2,2,0,1,2,0,0,0,0,1,0,0,0,2,1,1,0
198,807,20090804,22,39,25,2,13,42,11,41,12,1,1,0,2,1,1,2,0,1,0,0,2,2,0,2,2,0,0
199,808,20090811,43,8,6,17,40,29,41,4,9,1,2,2,0,0,0,2,1,1,2,2,1,2,2,1,0,0,0
200,809,20090818,19,41,20,34,36,24,16,28,44,1,1,2,2,2,1,1,2,0,2,0,1,1,1,1,1,2,2
201,810,20090825,17,41,24,16,39,5,11,22,30,2,1,2,2,0,1,1,1,0,2,2,0,2,0,1,1,0,1
202,811,20090901,45,16,37,42,28,9,29,33,44,0,2,1,1,1,2,0,2,1,1,0,0,2,1,0,2,2,2
203,812,20090908,3,2,21,20,24,7,35,1,19,0,0,2,0,0,1,2,1,0,1,1,0,2,2,1,0,1,1
204,813,20090915,35,27,15,7,19,43,13,36,6,2,2,0,1,0,0,1,0,1,1,1,2,1,0,0,2,0,0
205,814,20090922,24,19,18,26,20,7,21,23,44,0,1,1,1,0,1,2,1,2,1,1,0,0,1,2,1,2,2
206,815,20090929,12,27,36,35,7,28,25,24,37,0,0,0,1,0,2,2,2,1,0,1,1,1,1,0,1,1,2
207,816,20091006,28,34,45,22,17,5,12,18,27,1,1,1,2,0,2,1,1,2,1,2,0,0,0,0,1,0,1
208,817,20091013,10,27,44,39,14,26,30,7,15,1,0,0,1,2,2,0,2,2,0,2,1,0,1,1,0,0,0
209,818,20091020,25,36,24,27,38,32,6,26,23,1,1,0,2,0,1,0,1,2,2,2,2,0,0,2,1,2,1
210,819,20091027,42,45,20,4,43,7,25,27,37,0,2,0,2,2,1,1,0,1,2,1,0,1,1,0,1,1,2
